id,fuente,oferta_id,titulo,empresa,ubicacion,salario,contrato,jornada,fecha_publicacion,url,descripcion,requisitos,fecha_scrapeo,categoria,tags,modalidad,seniority,salario_num,moneda
1429,linkedin,4464785798,YugabyteDB Database Engineer (DBE) - Remote,Deep.BI,Uruguay,,,,2026-09-14,https://www.linkedin.com/jobs/view/4464785798,"Expeert YugabyteDB Database Engineer (DBE) Database Engineer (DBE) - Enterprise Open-Source Support Location: Remote (preferred South / Central America or US time zones) Department: Engineering - Open Source Database Support Reports to: CTO / VP Engineering About Deep.BI We provide enterprise support and consulting for open-source analytics and data infrastructure platforms such as Apache Druid, Apache Flink, StarRocks, YugabyteDB, and other emerging technologies. Our customers run mission-critical, high-volume systems and rely on us to keep them fast, stable, and available. We are a small, world-class expert, remote-first team working across multiple time zones (US, Brazil, Europe, India, Philippines), supporting 100+ customer environments with SLAs ranging from advisory support to 24/7 incident coverage. Role Overview As an Expert Database Engineer (DBE), you will be the core L3/L4 technical expert responsible for solving the most complex database problems our customers face in production, with an emphasis on supporting YugabyteDB clusters. You will dive deep into query optimization, transaction throughput, schema and sharding design, replication, and HA/DR configuration. Your job is to ensure that large-scale distributed SQL systems remain reliable, scalable, and performant. While your primary focus is database internals and advanced troubleshooting, we value engineers with broader skills. Knowledge of DevOps, infrastructure, security, or SRE practices is highly appreciated and will make you even more impactful. Key Responsibilities Advanced troubleshooting (L3/L4): Diagnose and resolve complex issues in YugabyteDB and other distributed SQL / OLTP database clusters (transaction contention and conflicts, query regressions, tablet hotspots, replication lag, compaction stalls, connection saturation). Performance optimization: Tune queries, schemas, sharding and indexing strategies, connection pooling, and configs to maximize efficiency under high read and write load. Use EXPLAIN ANALYZE and execution plans on the YSQL (PostgreSQL-compatible) layer. Architecture and design support: Work with Solution Architects to shape data models, primary key and sharding design, indexing strategies, and HA/DR approaches including synchronous replication, xCluster asynchronous replication, read replicas, and geo-distributed deployments. Incident resolution under 24/7 SLA: Comfortable debugging under SLA pressure and participating in on-call rotations. Act as the escalation point for production incidents, ensuring rapid root cause analysis and fixes. CVE patching: Apply, validate, and test security patches for database systems in customer environments. Knowledge sharing: Document best practices, contribute to playbooks, and mentor junior engineers when needed. Optional / nice-to-have: Support deployments with DevOps engineers (Kubernetes, cloud, automation). Assist in secure configuration and compliance requirements. Collaborate with developers (DD role) on upstream OSS bug fixes or feature contributions. Additional PostgreSQL proficiency is a big plus. Open-source contributions to yugabyteDB. C/C++ skills. Requirements 5+ years hands-on experience operating and troubleshooting YugabyteDB clusters in larger-scale production (not just querying or application usage; no PoCs). Proven experience with query optimization, indexing, schema and sharding design, and transaction throughput tuning. Solid knowledge of distributed systems concepts ( consistency, Raft consensus, replication, failover, scaling). Hands-on experience with high availability and disaster recovery setups. Comfort with Linux systems, networking basics, and SQL (PostgreSQL experience strongly preferred given YugabyteDB's YSQL compatibility). Ability to analyze logs, metrics, and configs under pressure (incident scenarios). Strong English language communication skills , able to explain technical decisions clearly to engineers and delivery managers both verbally and in writing. English language fluency Bonus : Experience with PostgreSQL, CockroachDB, TiDB, Google Spanner, Apache Cassandra, Vitess, or similar distributed SQL / OLTP databases. Bonus : Experience with Apache Druid, StarRocks, Clickhouse, Apache Doris or similar distributed SQL / OLAP databases. Bonus : Experience with Kubernetes, cloud infra (AWS/GCP/Azure), or security best practices (RBAC, encryption, IAM). Bonus : Contributions to Yugabyte open-source database projects. Bonus: C/C++ skills What We Offer Work with cutting-edge open-source technologies at enterprise scale. Opportunity to collaborate with top engineers across databases and communities. Competitive salary. Support for conference travel and OSS contributions. Flexible contract structure (direct employment, via a global payroll partner, or contractor/B2B), depending on your location and preference. Location and Working Style Remote-first. We collaborate online across multiple time zones. Role requires regular overlap with European and North American business hours.",,2026-09-25T14:07:00+00:00,,,,,,
1430,linkedin,4452628618,MongoDB Database Support Engineer (AMERICAS - Remote),Percona,"Montevideo, Montevideo, Uruguay",,,,2026-08-11,https://www.linkedin.com/jobs/view/4452628618,"If you are passionate about all things MongoDB, love helping customers succeed, and want to play a critical role in the evolution of technical support for open source databases, Percona's MongoDB Engineer position was made for you. You will serve on the front line, providing our customers with best of breed professional technical support services for MongoDB, resolving complex problems for customers with demanding deployments and business needs. At the same time, you will form the backbone of our MongoDB support organization, assisting your fellow support engineers, leading the way in blogging and Support content creation, collaborating with other departments, and having a direct, positive impact on our product strategy. If you are ready to be a part of our team, then contact us today! What Have You Done: Excellent knowledge of both RDBMS's and MongoDB, including: All aspects of configuration and best practices. Schema design, performance tuning, query optimization, & index tuning. Backup solutions. Replica set and sharding topologies. Engine selection and usage. Detailed understanding of monitoring requirements. Demonstrable experience of administering Linux based systems. Knowledge about virtualized environments such as VMWare, Docker and/or Kubernetes Knowledge about cloud providers (AWS, Google Cloud, Digital Ocean and/or Azure) Ability to troubleshoot methodically, identifying and applying fixes for known errors, and when necessary, capacity to think outside of the box to resolve complex issues. Enthused to expand your skill set with new technologies as the industry continues to evolve Availability to travel for the occasional team meeting, conference and customer visit Experience working with customers in English Completed MongoDB University courses What Will Make You Stand Out: Percona Backup for MongoDB Experience with MongoDB Atlas Postgres DBA troubleshooting (basic level or higher) Nagios, Percona Monitoring Plugins and other monitoring tools. Configuration management solutions such as Ansible, Puppet or Chef. Percona Toolkit suite. Writing Python and golang is preferred Hands on experience of MySQL (Minimum 2+ years). Why Percona? At Percona, we believe an open world is a better world. Our mission is to enable everyone to innovate freely, by providing the best open source database software, support, and services. We make databases and applications run better through a unique combination of expertise and open source software built with the community for you. Our technical teams are experts in MySQL, MongoDB, PostgreSQL, and MariaDB. Percona is proud to be a remote-only and globally dispersed workforce – we have colleagues in more than 50 countries! We offer a collaborative, highly-engaged culture where your ideas are welcome and your voice is heard. Our staff receives generous benefits including flexible work hours and various paid time off programs, all your equipment for your remote office, funds for career development (external training, certifications, conferences), ongoing connectivity allowances, and the opportunity to participate in our equity incentive plan. We also have benefits that support a healthy work/life balance such as The Percona Adventure Team, Work-from-Anywhere, FlowDays, FryDays, and overall flexibility. We also support being socially responsible through our PAVE volunteering program and Women Transforming Technology. If you love the idea of working with a high-growth tech company that is one of the best in the business and known globally as a leader in the open-source database space, let’s talk! Connect with us and stay up to date on our latest news and developments by following us on LinkedIn and Twitter. We look forward to connecting with you!",,2026-09-25T14:07:00+00:00,,,,,,
1431,linkedin,4460549909,Corporate Entertainment and Leisure Specialist,Internova Global Services,"Montevideo, Montevideo, Uruguay",,,,2026-09-19,https://www.linkedin.com/jobs/view/4460549909,"Overview Global Travel Collection (GTC ), part of Internova Travel Group, is the most influential collection of international luxury travel advisors. More than 1,700 GTC advisors are industry leaders in providing premium travel services to leisure travelers, corporate executives and the entertainment industry. GTC’s combined global reach and leverage translate into value, recognition and preferential treatment for its world traveler clients. Click here for more information about Global Travel Collection. Responsibilities JOB OVERVIEW: The individual in this role will provide best-in-class travel consulting services for individual corporate entertainment clients and leisure clients. This role supports an established Principal Advisor who has a high-volume, fast-paced business . Successful candidates must have expertise in Sabre, offer exceptional client service, and be able to manage complex, high-touch itineraries. WORK SCHEDULE: Mon- Fri 12 pm a 8:45 pm Pacific Time. Responsibilities Email, download, and compile air, hotel and cars information, proposals, offers, and client records. Prepare commission reports, memos, rooming lists, contracts, riders, spreadsheets and other documents as needed. Research and execute client luxury leisure bookings, including hotel and villas, yachts, cruises, dining arrangements, trip proposals, and full-service concierge. Suggest and research travel destination options, fares, routing, hotels, customs, and logistical details to meet specific client needs. Book and manage domestic and international air, hotel, car rental, and ground transportation using Sabre GDS. Maintain ownership of each client record until departure to ensure all details are completed to the client’s satisfaction. Be aware of all airline rules and regulations and accurately apply this knowledge to all travel arrangements. Issue, exchange, void, and refund tickets and MCOs as needed. Create accurate invoices using Sabre and Agent Portal systems. Build strong relationships and act as a trusted travel advisor for both new and long-term clients. Promote preferred vendors, insurance offerings, and value-added services. Independently review client reservations for accuracy and quality. Research and propose solutions to any travel-related problem clients may experience. Maintain and update client profiles and preferences in CRM database. Manage deposits, final payments, and required travel documents. Perform additional duties/projects upon request. Qualifications Qualifications High School Diploma/ GED required; bachelor’s degree preferred. Minimum three (3) years of travel experience in the luxury leisure and corporate sector of the travel industry. Minimum of three (3) years of SABRE experience. Ability to function in a fast-paced environment with minimum supervision. Experience with high-end and high-demand travelers. Must exhibit a professional manner. Strong verbal and written communication skills with high attention to detail. Is knowledgeable about world events and weather that might affect travel plans. Pay And Benefits Our benefit offerings include medical insurance, meal tickets, transportation allowance , paid time off, discounted employee travel options, access to LinkedIn Learning webinars and courses. The salary range on this job posting/advertising has been developed to give applicants a range based on the local market where the candidate would be working. Many factors, such as years of experience, budget etc. are considered when determining the starting rate of pay. Internova Travel Group is an Equal Opportunity Employer. We make employment decisions without regard to age, race, religion, national origin, gender, disability, veteran status, genetic information, sexual orientation and gender identity or any other protected class. Prospective Employee Privacy Policy #MVD",,2026-09-25T14:07:00+00:00,,,,,,
1432,linkedin,4453362150,Accounting Operations Specialist,Internova Global Services,"Montevideo, Montevideo, Uruguay",,,,2026-09-03,https://www.linkedin.com/jobs/view/4453362150,"Overview Global Travel Collection (GTC ), part of Internova Travel Group, is the most influential collection of international luxury travel advisors. More than 1,700 GTC advisors are industry leaders in providing premium travel services to leisure travelers, corporate executives and the entertainment industry. GTC’s combined global reach and leverage translate into value, recognition and preferential treatment for its world traveler clients. Click here for more information about Global Travel Collection. Responsibilities JOB OVERVIEW: The Accounting Operations Specialist is responsible for ensuring the accuracy, completeness, and timely processing of invoicing, accounts receivable reconciliations, and travel commission reporting. This role performs detailed reconciliations between client accounts, invoices, GDS reports, and advisor commission statements, identifies and resolves discrepancies, and maintains supporting documentation for audit and operational purposes. The ideal candidate is highly analytical, detail-oriented, and able to manage multiple priorities while collaborating with internal teams. Responsibilities Reconcile client accounts receivable reporting and ensure all required invoices are submitted accurately and on time Review invoices for completeness, accuracy, and proper supporting documentation, ensuring no duplicate submissions or missing invoices Monitor invoice status, track outstanding items, and follow up on discrepancies to facilitate timely resolution and payment Manage the end-to-end group booking commission process by tracking group checkout dates, confirming commission amounts with hotel partners, creating and sending commission invoices through Advisor OS (AOS), and following up to ensure receipt and processing. Monitor outstanding payments, maintain accurate commission tracking records, and reconcile received payments against invoices, updating AOS and closing files upon completion Perform detailed reconciliations between Global Distribution System (GDS) reports and advisor commission statements to verify that all tickets, itineraries, commission percentages, and adjustments are accurately recorded Review transactions within Sabre to validate any booking changes, confirm commission percentages and amounts, and ensure statements are updated accurately Investigate and resolve variances, including missing transactions, unmatched commissions, and commission payment differences Maintain organized reconciliation records, supporting documentation, and audit-ready files to support operational reviews and compliance requirements Qualifications Qualifications Experience with reconciliation processes and invoice management. Strong attention to detail and ability to identify discrepancies. Proficiency with Microsoft Excel, including reconciliation spreadsheets and data analysis. Ability to manage multiple priorities and meet deadlines. Preferred Skills Experience working with travel agency accounting systems, ARC reporting, or vendor statements. Knowledge of airline ticket lifecycle (issuance, exchange, refund, void, and credit transactions) Pay And Benefits Our benefit offerings include medical insurance, meal tickets, transportation allowance , paid time off, discounted employee travel options, access to LinkedIn Learning webinars and courses. The salary range on this job posting/advertising has been developed to give applicants a range based on the local market where the candidate would be working. Many factors, such as years of experience, budget etc. are considered when determining the starting rate of pay. This role may be eligible for an incentive, commission, bonus, or a discretionary bonus program based on the company’s financial goal achievement and individual performance. Internova Travel Group is an Equal Opportunity Employer. We make employment decisions without regard to age, race, religion, national origin, gender, disability, veteran status, genetic information, sexual orientation and gender identity or any other protected class. Prospective Employee Privacy Policy #MVD",,2026-09-25T14:07:00+00:00,,,,,,
1433,linkedin,4444027197,Python Developer with AI - UY - Montevideo,Globant,"Montevideo, Montevideo, Uruguay",,,,2026-09-25,https://www.linkedin.com/jobs/view/4444027197,"At Globant, we are working to make the world a better place, one step at a time. We enhance business development and enterprise solutions to prepare them for a digital future. With a diverse and talented team present in more than 30 countries, we are strategic partners to leading global companies in their business process transformation. We seek a Python Engineer With AI who shares our passion for innovation and change. This role is critical to helping our business partners evolve and adapt to consumers personalized expectations in this new technological era. What will help you succeed: Experience working as a Python Developer Experience working with Agentic AI, GenAI, LLM technologies, NLP, Langchain, Langgraph, Mid-Level English AWS, Azure, Google Cloud Platform, Kubernetes, Jenkins, Terraform, Prometheus, Grafana, Microservices Architecture, Automated Testing Frameworks This job can be filled in Montevideo, Uruguay Create with us digital products that people love. We will bring businesses and consumers together through AI technology and creativity, driving digital transformation toimpact the world positively. We may use AI and machine learning technologies in our recruitment process. Globant is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, or any other characteristic protected by applicable federal, state, or local law. Globant is also committed to providing reasonable accommodations for qualified individuals with disabilities in our job application procedures. If you need assistance or an accommodation due to a disability, please let your recruiter know.",,2026-09-25T14:07:00+00:00,,,,,,
1434,linkedin,4465939047,StarRocks Expert Database Engineer (DBE) - Remote,Deep.BI,Uruguay,,,,2026-09-15,https://www.linkedin.com/jobs/view/4465939047,"StarRocks Expert Database Engineer (DBE) – Enterprise Open-Source Support Location: Remote (South & Central America, US Working Hours) Department: Engineering - Open Source Database support Reports to: CTO / VP Engineering Role Overview As a StarRocks Expert Database Engineer (DBE), you will be the core L3/L4 technical expert responsible for solving the most complex database problems our customers face in production with an emphasis on supporting StarRocks clusters . You’ll dive deep into query optimization, ingestion pipelines, schema design, and HA/DR configuration — ensuring that large-scale analytical systems remain reliable, scalable, and performant. While your primary focus is database internals and advanced troubleshooting, we value engineers with broader skills — knowledge of DevOps, Infrastructure, security or SRE Practices is highly appreciated and will make you even more impactful. Key Responsibilities Advanced troubleshooting (L3/L4): Diagnose and resolve complex issues in StarRocks and other OLAP database clusters (performance Bottlenecks, ingestion failures, query regressions) Performance optimization: Tune queries, schemas, ingestion flows, and configs to maximize efficiency under high load. Architecture & design support: Work with Solution Architects to shape data models, indexing strategies, and HA/DR approaches. Incident resolution under 24/7 SLA: Comfortable debugging under SLA pressure and participating in on-call rotations. Act as the escalation point for production incidents, ensuring rapid root cause analysis and fixes. CVE patching: Apply, validate, and test security patches for database systems in customer environments. Knowledge sharing: Document best practices, contribute to playbooks, and mentor junior engineers when needed. Optional / nice-to-have: Support deployments with DevOps engineers (Kubernetes, cloud, automation) Assist in secure configuration and compliance requirements Collaborate with developers (DD role) on upstream OSS bug fixes or feature contributions. Requirements 2+ years hands-on experience operating and troubleshooting StarRocks clusters in larger scale production (not just querying or dashboard usage; no PoCs) Proven experience with query optimization, indexing, schema design, and ingestion pipelines. Solid knowledge of distributed systems concepts (consistency, replication, failover, scaling) Hands-on experience with high availability and disaster recovery setups Comfort with Linux systems, networking basics and SQL Ability to analyze logs, metrics, and configs under pressure (incident scenarios) Strong English language communication skills, able to explain technical decisions clearly to engineers and delivery managers both verbally and in writing Bonus : Experience with Apache Druid, ClickHouse, TiDB, Apache Cassandra, or similar databases Bonus : Experience with Kubernetes, cloud infra (AWS/GCP/Azure), or security best practices (RBAC, encryption, IAM). Bonus : Contributions to open-source database projects. About Deep.BI We provide enterprise support and consulting for open‑source analytics and data infrastructure platforms such as Apache Druid, Apache Flink, StarRocks and other emerging technologies.Our customers run mission‑critical, high‑volume systems and rely on us to keep them fast, stable, and available. We’re a small, world-class expert, remote‑first team working across multiple time zones (US, Brazil, Europe, India, Philippines), supporting 100+ customer environments with SLAs ranging from advisory support to 24/7 incident coverage. What we offer Work with cutting-edge open-source technologies at enterprise scale. Opportunity to collaborate with top engineers across databases, communities. Competitive salary Support for conference travel and OSS contributions Flexible contract structure (direct employment or via a global payroll partner or contractor/B2B), depending on your location and preference. Location & working style Remote‑first - we collaborate online across multiple time zones. Role requires regular overlap with European and North American business hours.",,2026-09-25T14:07:00+00:00,,,,,,
1435,linkedin,4458404812,Machine Learning Engineer,StaffSource,"Montevideo, Uruguay",,,,2026-09-04,https://www.linkedin.com/jobs/view/4458404812,"Job Summary We are looking for a Machine Learning Engineer to design and deploy advanced perception systems that interpret data from external sensors such as cameras and spatial sensing technologies. This role focuses on building intelligent systems capable of understanding real-world environments in real time. You will work on cutting-edge machine learning and computer vision solutions that enable environmental awareness, object detection, and situational understanding for complex, dynamic environments. Key Responsibilities Develop and deploy machine learning models for real-time perception using sensor data (e.g., cameras, radar-like signals, or other spatial inputs). Build computer vision systems for object detection, tracking, and scene understanding. Process large-scale datasets to improve model accuracy, robustness, and generalization. Implement multi-sensor data fusion techniques to enhance environmental understanding. Optimize models for real-time inference with low latency and high reliability. Deploy models to edge or embedded systems with hardware constraints. Collaborate with cross-functional teams including hardware, software, and data engineering. Continuously evaluate and improve model performance under diverse real-world conditions. Stay up to date with advancements in machine learning, perception, and AI research. Required Qualifications Bachelor’s or Master’s degree in Computer Science, Electrical Engineering, Robotics, or related field. 2–5 years of experience in machine learning, computer vision, or related areas. Strong programming skills in Python and/or C++. Hands-on experience with deep learning frameworks (PyTorch, TensorFlow). Solid understanding of computer vision techniques (object detection, segmentation, tracking). Experience working with sensor-generated or image-based data. Strong foundation in mathematics (linear algebra, probability, optimization). Preferred Qualifications Experience with real-time perception systems or spatial intelligence. Knowledge of sensor fusion techniques (e.g., Kalman filters, multimodal models). Familiarity with 3D perception and spatial data processing. Experience with edge computing or embedded AI systems. Familiarity with ROS (Robot Operating System) or similar frameworks. Experience managing large datasets and annotation pipelines. Understanding of safety-critical or high-reliability systems. Key Skills Computer Vision & Deep Learning Sensor Data Processing & Fusion Real-time System Optimization Analytical Thinking & Problem Solving Cross-disciplinary Collaboration",,2026-09-25T14:07:00+00:00,,,,,,
1436,linkedin,4459079573,VoIP Engineer - Remote,Telnyx,Uruguay,,,,2026-09-16,https://www.linkedin.com/jobs/view/4459079573,"About Telnyx Telnyx is an industry leader that's not just imagining the future of global connectivity—we're building it. From architecting and amplifying the reach of a private, global, multi-cloud IP network , to bringing hyperlocal edge technology right to your fingertips through intuitive APIs, we're shaping a new era of seamless interconnection between people, devices, and applications. We're driven by a desire to transform and modernize what's antiquated, automate the manual, and solve real-world problems through innovative connectivity solutions. As a testament to our success, we're proud to stand as a financially stable and profitable company. Our robust profitability allows us not only to invest in pioneering technologies but also to foster an environment of continuous learning and growth for our team. Our collective vision is a world where borderless connectivity fuels limitless innovation. By joining us, you can be part of laying the foundations for this interconnected future. We're currently seeking passionate individuals who are excited about the opportunity to contribute to an industry-shaping company while growing their own skills and careers. About You As a VoIP Engineer you understand how the Telnyx Telephony Engine works as whole, while also being able to identify each underlying service and its purpose. You use this knowledge plus your experience working with VoIP technologies to design new features and guide software developers on their implementation. You assist other teams by triaging escalated issues and then working with all the involved parties until they are resolved. You are the subject matter expert for all topics that are telephony related, and when you don't know the answer you will know who to ask. The Opportunity You work with users around the globe, where you help by solving their communications challenges. You’ll also get to work with other engineers to build delightful features that span various parts of the system, as well as our business, sales, and operations teams to understand and solve our users’ pain points. We’re looking for people with a strong background in VoIP technologies and interest in building successful products or systems; you’re comfortable in dealing with lots of moving pieces; you have exquisite attention to detail; and you’re comfortable learning new technologies and systems. Understand how all Telephony services work and how they are integrated to the platform. Operate, maintain, expand and support SIP proxies based on Kamailio or OpenSIPS applications. Handle level 3 troubleshooting escalations and triaging. Analyze telephony traffic patterns and identify issues and anomalies. React to critical alerts in order to rapidly return to a full-service state. Troubleshoot and resolve voice and network protocol communication issues. Interface with partner organizations for interconnections and expansions. Design, build, test, deploy and maintain monitoring, alerting, QA and logging tools for Telephony applications. Coordinate system maintenance and deployment events. Who We're Looking For A degree in Computer Science, Information Technology, Telecommunications or similar. Strong understanding of IP telephony (VoIP), TCP/IP Networks and related protocols (SIP, RTP, RTCP, ISUP, TLS, STUN, TURN, WebRTC). Experience with Open Source VoIP applications such as Kamailio, OpenSIPS, FreeSWITCH, RTPEngine, Asterisk and open source tools such as Wireshark, sngrep and Homer. Experience with Linux, Open Source tools and shell scripting. Experience with containers and automation/orchestration tools such as Docker, Ansible, Jenkins, Kubernetes. Familiarity with programming in Python, Elixir or Go are a plus.",,2026-09-25T14:07:00+00:00,,,,,,
1437,linkedin,4460669256,Asesor Comercial de Mini CAC Florida,Claro Uruguay,"Florida, Florida, Uruguay",,,,2026-09-01,https://www.linkedin.com/jobs/view/4460669256,"En Claro promovemos una cultura de respeto e igualdad de oportunidades. Seleccionamos a nuestros talentos basándonos en el valor que pueden agregar a nuestro negocio. Buscamos profesionales con capacidad para desenvolverse en un contexto de evolución e innovación digital, que generen nuevos desafíos y desarrollen oportunidades de negocios. Rol: Brindar asesoramiento integral a clientes y no clientes, impulsando activamente la generación de oportunidades de venta de productos y servicios que satisfagan sus necesidades, contribuyendo al cumplimiento de los objetivos comerciales y asegurando una experiencia diferencial. Principales Desafíos: Brindar asesoramiento comercial asegurando calidad y eficiencia en cada interacción. Alcanzar los objetivos comerciales individuales y grupales. Detectar oportunidades comerciales complementando con productos y servicios según las necesidades del cliente. Gestionar ventas a través de diferentes acciones comerciales impulsadas por herramientas digitales. Cumplir con los indicadores de gestión asegurando la calidad y experiencia establecidos. Participar activamente en la dinámica del salón comercial, colaborando con el equipo y asumiendo el rol de anfitrión/a cuando sea necesario. Según la naturaleza del centro de atención, el puesto podrá incluir la posibilidad de realizar cobros. Representar a Claro con profesionalismo y visión de crecimiento. Conocer, cumplir y hacer cumplir las políticas y procedimientos de la empresa aplicables a su área y su rol, sean éstas de carácter normativo legal y / o corporativo (políticas de América Móvil, políticas de Claro AUP, procedimientos en general, requisitos legales, política y procedimientos de Salud y Seguridad, etc.) asegurando la implementación de procesos conforme a lo establecido en ellas. Qué necesitamos de vos: Bachillerato completo (sin pendientes, excluyente). Se valorará formación terciaria y/o universitaria en áreas afines al rol. Experiencia previa mínima de un año en atención a clientes y venta. Conocimiento de herramientas informáticas y digitales. Interés para desarrollarse en un área comercial, con motivación para construir un perfil profesional sólido. Habilidades de comunicación y relacionamiento interpersonal orientadas a la satisfacción y fidelización de clientes. Perfil comercial con orientación a resultados y foco en generar valor para el cliente. Trabajo colaborativo y actitud proactiva. Qué esperamos de vos: Orientación a Resultados: Que orientes tu gestión y tus esfuerzos al logro de los objetivos del negocio, manteniendo un compromiso permanente con la calidad del servicio y la satisfacción de los clientes. Que impulses el avance de tu gestión definiendo prioridades y haciéndote responsable por los resultados alcanzados, buscando permanentemente oportunidades para generar valor y mejorar la experiencia de nuestros clientes. Excelencia: Que trabajes con altos estándares de calidad. Que planifiques tus acciones con precisión, realizando el seguimiento necesario para asegurar resultados sostenibles promoviendo la mejora continua de procesos. Integridad: que actúes con honestidad y coherencia, cumpliendo compromisos y haciéndote responsable por las decisiones y acciones que asumas. El puesto tiene sede en Florida. Jornada laboral completa. Cantidad de vacantes: 1 El presente proceso de búsqueda comprende a las personas inscriptas en el Registro Nacional de Personas con Discapacidad que reúnan las competencias e idoneidad para el cargo previamente detalladas, de acuerdo a lo dispuesto en la Ley N° 19.691.",,2026-09-25T14:07:00+00:00,,,,,,
1438,linkedin,4468914276,Analista de calificaciones,Biocelys,"Canelones, Uruguay",,,,2026-09-22,https://www.linkedin.com/jobs/view/4468914276,"Sobre Biocelys 🧬 Biocelys es un laboratorio de biotecnología humana ubicado en el Parque de las Ciencias, Canelones, uno de los proyectos biotecnológicos de mayor escala y capacidad productiva del país. Actualmente estamos en plena etapa de construcción y puesta en marcha de nuestras instalaciones, dando forma a un proyecto que busca posicionar a Uruguay como referente en manufactura biotecnológica de alta precisión.Formar parte de Biocelys hoy es sumarse a un equipo que está construyendo, desde cero, algo grande: procesos, cultura y un espacio de trabajo pensado para crecer junto con el proyecto. Biocelys. Desde Uruguay para el mundo. 🔬¡Estamos buscando un/a Analista de Calificaciones! En BioCelys seguimos creciendo, y queremos sumar a nuestro equipo de Aseguramiento de Calidad a alguien apasionado por la calidad, la precisión y el cumplimiento normativo en la industria farmacéutica. ¿Qué vas a hacer en este rol? 🔹 Gestionar y mantener actualizado el Plan Maestro de Validación 🔹 Diseñar ensayos de calificación y validación 🔹 Realizar análisis de riesgos 🔹 Redactar protocolos e informes de calificación y validación 🔹 Evaluar documentación técnica de calificación de proveedores 🔹 Ejecutar calificaciones de instalaciones, servicios y equipos 🔹 Coordinar calibraciones de instrumentos 🔹 Realizar mapeos térmicos 🔹 Verificar la integridad de datos en registros y sistemas 🔹 Redactar y actualizar procedimientos del área ¿Qué buscamos en vos? ✅ Químico/a Farmacéutico/a o estudiante avanzado de la carrera ✅ Experiencia previa en tareas similares ✅ Buen manejo de inglés y herramientas informáticas ✅ Conocimiento de normativas y guías internacionales de GMP, integridad de datos y validación ✅ Actitud proactiva, con foco en la mejora continua ✅ Buenas habilidades de comunicación y trabajo en equipo Si te entusiasma trabajar en un entorno técnico, regulado y en constante evolución, ¡queremos conocerte! 🚀 📩 Postulate enviando tu CV a pyc@biocelys.com asunto Analista de calificaciones o a través del link de esta publicación.",,2026-09-25T14:07:00+00:00,,,,,,
